"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1139661","","","","","Aeropuerto Internacional Reina Beatrix","Queen Beatrix International Airport","Aeropuerto Internacional Reina Beatriz","aéroport international Reine-Beatrix","","","","Bandar Udara Internasional Ratu Beatrix","Aeroporto Internazionale Regina Beatrice","クィーン・ベアトリクス国際空港","","Internationale luchthaven Koningin Beatrix","Port lotniczy Królowa Beatrix","Aeroporto Internacional Rainha Beatriz","Международный аэропорт имени королевы Беатрикс","Queen Beatrix International Airport","","Sân bay quốc tế Queen Beatrix","貝婭特麗克絲女王國際機場"
"Q1151984","","","","","","Kermanshah Airport","","","","","","Bandar Udara Kermanshah","","ケルマーンシャー","","","Port lotniczy Kermanszah","","","Shahid Ashrafi Esfahani Airport","Kirmanşah Havaalanı","Sân bay Shahid Ashrafi Esfahani","克爾曼沙赫"
"Q1156865","","","مطار إنديانابوليس الدولي","ইন্ডিয়ানাপোলিস আন্তর্জাতিক বিমানবন্দর","Indianapolis International Airport","Indianapolis International Airport","Aeropuerto Internacional de Indianápolis","aéroport international d'Indianapolis","","","","Bandar Udara Internasional Indianapolis","Aeroporto Internazionale di Indianapolis","インディアナポリス国際空港","인디애나폴리스 국제공항","Indianapolis International Airport","Port lotniczy Indianapolis","","","","","Sân bay quốc tế Indianapolis","印第安纳波利斯国际机场"
"Q1156790","","","مطار تشينغداو ليوتينغ الدولي","","Flughafen Qingdao-Liuting","Qingdao Liuting International Airport","Aeropuerto Internacional de Qingdao-Liuting","aéroport international de Qingdao Liuting","","","","Bandar Udara Internasional Liuting Qingdao","","青島流亭国際空港","칭다오 류팅 국제공항","Qingdao Liuting International Airport","Port lotniczy Qingdao-Liuting","Aeroporto Internacional de Qingdao Liuting","Циндао Лютин","Qingdao Liuting International Airport","","Sân bay quốc tế Lưu Đình Thanh Đảo","青島流亭國際機場"
"Q1165584","","","مطار أوكلاند الدولي","","Oakland International Airport","Oakland International Airport","Aeropuerto Internacional de Oakland","aéroport international d'Oakland","","","","Bandar Udara Internasional Oakland","Aeroporto Internazionale di Oakland","オークランド国際空港","","Internationale luchthaven van Oakland","Port lotniczy Oakland","Aeroporto Internacional de Oakland","","Oakland International Airport","","Sân bay quốc tế Oakland","奧克蘭國際機場"
"Q1150557","","","","","Flughafen Nadi","Nadi International Airport","Aeropuerto Internacional de Nadi","aéroport international de Nadi","","","","Bandar Udara Internasional Nadi","Aeroporto internazionale di Nadi","ナンディ国際空港","난디 국제공항","Nadi International Airport","Port lotniczy Nadi","Aeroporto Internacional de Nadi","Нанди","Nadi International Airport","","Sân bay quốc tế Nadi","楠迪國際機場"
"Q1190274","","","مطار كونمينغ وجيابا الدولي","","Kunming Wujiaba International Airport","Kunming Wujiaba International Airport","Kunming Wujiaba","Kunming Wujiaba International Airport","","","","","Kunming Wujiaba","昆明巫家ハ国際空港","쿤밍 우자바 국제공항","Kunming Wujiaba International Airport","Port lotniczy Kunming-Wujiaba","Aeroporto Internacional de Kunming Wujiaba","","","","Sân bay quốc tế Vu Gia Bá","昆明巫家坝国际机场"
"Q1231062","","","","এল প্যাসো আন্তর্জাতিক বিমানবন্দর","El Paso International Airport","El Paso International Airport","Aeropuerto Internacional de El Paso","","","","","Bandar Udara Internasional El Paso","Aeroporto Internazionale di El Paso","エルパソ国際空港","","El Paso International Airport","Port lotniczy El Paso","Aeroporto Internacional de El Paso","","","","Sân bay quốc tế El Paso","艾爾帕索國際機場"
"Q1209229","","","مطار مودانجيانغ هايلانغ","","","Mudanjiang Hailang International Airport","","","","","","","","牡丹江海浪空港","무단장 하이랑 공항","Mudanjiang Hailang Airport","Port lotniczy Mudanjiang","","Муданьцзян Хайлан","Mudanjiang Hailang International Airport","","Sân bay Hải Lãng Mẫu Đơn Giang","牡丹江海浪机场"
"Q1191196","","","مطار نيلسون مانديلا الدولي","","Praia International Airport","Praia International Airport","Aeropuerto Internacional Nelson Mandela","aéroport international de Praia","","","","","","プライア国際空港","프라이아 국제공항","Luchthaven Praia Internationaal","Port lotniczy Praia","Aeroporto Internacional da Praia","","Praia International Airport","","Sân bay quốc tế Praia","納爾遜·曼德拉國際機場"
